"Food","FCDB Food ID","Serving Size or CSM","Serving Size Unit","Quantity per 100 g","Nutrient Unit","Quantity per serve","Nutrient Unit","%DI Per Serve"
"Muffin split, English style, white, plain, as purchased","A1197","65","g","4.3","g","2.8","g",""
"Frozen meal, roast chicken with mashed potato & vegetables, microwaved, ready to eat","H10007","445","g","0.6","g","2.8","g",""
"Patty, burger, chicken, crumbed, frozen, raw","N1054","100","g","2.8","g","2.8","g",""
"Muffin split, English style, white, with cheese, toasted","A1200","65","g","4.4","g","2.8","g",""
"Frozen meal, roast beef with mashed potato & vegetables, microwaved","H10008","425","g","0.6","g","2.7","g",""
"Frozen meal, roast lamb with mashed potato & vegetables, microwaved, ready to eat","H10009","425","g","0.6","g","2.7","g",""
"Bread, wheat, soy & linseed added, sliced, as purchased","A1171","80","g","3.4","g","2.7","g",""
"Hash brown or rosti, from kumara, baked, without added fat","H10021","33","g","8.2","g","2.7","g",""
"Drink, almond milk, sweetened with rice syrup","C1154","250","mL","1.1","g","2.7","g",""
"Bread, plain, Panini, prepacked","A234","92","g","2.8","g","2.6","g",""
"Lobster with ginger & shallots","H70","153","g","1.7","g","2.6","g",""
"Muffin split, English style, white, with cheese, as purchased","A1199","65","g","4.0","g","2.6","g",""
"Gin & tonic water, 9% alcohol by volume, pub or home-mixed","B1042","150","mL","1.7","g","2.6","g",""
"Bread, chapatti or roti, wholemeal, restaurant","A1123","99","g","2.6","g","2.6","g",""
"Bread, wheatmeal, sliced, as purchased","A1165","80","g","3.3","g","2.6","g",""
"Prawns, satay","H90","251","g","1.1","g","2.6","g",""
"Hash brown or rosti, from kumara, frozen","H10019","36","g","7.3","g","2.6","g",""
"Chicken, nugget, battered, baked, Tegel®","N49","100","g","2.6","g","2.6","g",""
"Bagels, white","A1121","94","g","2.6","g","2.5","g",""
"Bread, sourdough, white, sliced, toasted","A1188","80","g","3.1","g","2.5","g",""
"Bagels, white, toasted","A1122","89","g","2.8","g","2.5","g",""
"Frozen meal, roast beef with roast potato & vegetables, microwaved, ready to eat","H10004","395","g","0.6","g","2.5","g",""
"Frozen meal, roast beef with potato & vegetables, microwaved","H10012","395","g","0.6","g","2.5","g",""
"Wrap, wholemeal, plain, toasted","A1182","60","g","4.2","g","2.5","g",""
"Frozen meal, roast chicken with roast potato & vegetables, microwaved, ready to eat","H10003","399","g","0.6","g","2.5","g",""
"Frozen meal, roast chicken with potato & vegetables, microwaved","H10011","399","g","0.6","g","2.5","g",""
"Cereal bar, baked, oat-based, lower sugar, with fruit, microwaved","U10015","65","g","3.9","g","2.5","g",""
"Wrap, bread, wholemeal, as purchased","A1181","60","g","4.0","g","2.4","g",""
"Frozen meal, roast lamb with roast potato & vegetables, microwaved","H10005","384","g","0.6","g","2.4","g",""
"Frozen meal, roast lamb with potato & vegetables, microwaved","H10013","384","g","0.6","g","2.4","g",""
"Frozen meal, roast pork with roast potato & vegetables, microwaved, ready to eat","H10002","387","g","0.6","g","2.4","g",""
"Bread, wholemeal or wholegrain, sliced, as purchased","A1163","80","g","3.0","g","2.4","g",""
"Bread, white, seeds added, light, sliced, as purchased","A1175","80","g","3.0","g","2.4","g",""
"Frozen meal, roast pork with potato & vegetables","H10010","388","g","0.6","g","2.4","g",""
"Chicken, nugget, battered, raw, Tegel®","N47","100","g","2.3","g","2.3","g",""
"Bun, sweetened, plain, spiced, un-iced","A1160","80","g","2.8","g","2.3","g",""
"Pasta, white wheat flour, assorted shapes, regular, dry","E1063","75","g","3.0","g","2.3","g",""
"Bread roll or bun, wholemeal, fortified folate","A1126","78","g","2.9","g","2.3","g",""
"Milo® powder, fortified vitamins B2, B3, B6, B12, C & D, Ca, Fe and P","C1124","15","g","14","g","2.2","g",""
"Cereal bar, baked, oat-based, lower sugar, microwaved","U10028","68","g","3.2","g","2.2","g",""
"Ovaltine®, dry powder","C20","20","g","11","g","2.2","g",""
"Bread, sourdough, white, loaf, as purchased","A1187","80","g","2.7","g","2.2","g",""
"Syrup, vanilla, McDonald's®","H168","15","mL","10","g","2.2","g",""
"Soup, chicken, condensed, canned","V2","250","mL","0.8","g","2.2","g",""
"Syrup, chocolate, McDonald's®","H166","15","mL","10","g","2.2","g",""
"Muffin split, English style, white, with spicy dried fruits, toasted","A1202","65","g","3.5","g","2.2","g",""
"Chop suey, pork","H71","253","g","0.8","g","2.1","g",""
"Flour, wheat, white, standard","E1088","135","g","1.6","g","2.1","g",""
"Flour, wheat, white, self-raising","E1089","135","g","1.6","g","2.1","g",""
"Flour, wheat, white, high grade","E1090","135","g","1.6","g","2.1","g",""
"Candy, caramel","W48","14","g","15","g","2.1","g",""
"San Bran™, Sanitarium™","D1018","45","g","4.4","g","2.0","g",""
"Pie, pork","N12","190","g","1.1","g","2.0","g",""
"Bread roll or bun, white, fortified folate","A1125","62","g","3.3","g","2.0","g",""
"Chicken, nugget, battered, baked","N76","100","g","2.0","g","2.0","g",""
"Soup, pumpkin, heated","V1001","250","mL","0.7","g","2.0","g",""
"Muffin split, English style, white, with spicy dried fruits, as purchased","A1201","65","g","3.1","g","2.0","g",""
"Pie, savoury, mince & cheese, individual size, ready to eat","H1054","221","g","0.8","g","1.9","g",""
"Pizza, frozen, Hawaiian & House special, premium, baked","H177","150","g","1.3","g","1.9","g",""
"Lollipop, assorted flavours, Chupa Chup®","W57","13","g","15","g","1.9","g",""
"Cider, vintage","B13","150","mL","1.2","g","1.9","g",""
"Bread roll, currant, commercial, upper North Island","A181","80","g","2.4","g","1.9","g",""
"Bread roll, currant, commercial, lower North Island","A182","80","g","2.4","g","1.9","g",""
"Bread roll, currant, commercial, South Island","A183","80","g","2.4","g","1.9","g",""
"Bread roll, currant, commercial","A206","80","g","2.4","g","1.9","g",""
"Chicken, nugget, cheesy, baked, Tegel®","N55","100","g","1.9","g","1.9","g",""
"Pasty, commercial","H26","165","g","1.1","g","1.8","g",""
"Cereal bar, baked, oat-based, lower sugar, with honey & almond, microwaved","U10014","71","g","2.5","g","1.8","g",""
"Peanut, coated with milk chocolate","W53","25","g","7.2","g","1.8","g",""
"Bread, multigrain, heavy (dense), sliced, toasted","A1168","80","g","2.3","g","1.8","g",""
"Bun, sweetened, with chocolate, spiced, un-iced","A1159","80","g","2.3","g","1.8","g",""
"Couscous, white wheat, dry","E1067","106","g","1.6","g","1.7","g",""
"Chicken, nugget, cheesy, raw, Tegel®","N53","100","g","1.7","g","1.7","g",""
"Coffee whitener, powder","P68","8","g","21","g","1.7","g",""
"Muesli bar, assorted flavours, Magic Muesli","U25","70","g","2.4","g","1.7","g",""
"Blackcurrant, stewed with sugar","L51","135","g","1.3","g","1.7","g",""
"Pizza, vegetarian, large, baked, thick crust, commercial","H192","150","g","1.2","g","1.7","g",""
"Soy milk, So Good™, Vanilla Flavoured, Sanitarium™, fortified vitamins A, B1, B2, & B12, Ca, Mg & P","C92","250","mL","0.6","g","1.6","g",""
"Pizza, barbeque chicken, thick crust","H190","150","g","1.1","g","1.6","g",""
"Wrap, multigrain, as purchased","A1183","60","g","2.6","g","1.6","g",""
"Bread, white, garlic filling with butter, baked","A1211","50","g","3.2","g","1.6","g",""
"Bread, multigrain, heavy (dense), sliced, as purchased","A1167","80","g","2.0","g","1.6","g",""
"Wrap, multigrain, toasted","A1184","60","g","2.7","g","1.6","g",""
"Syrup, strawberry, McDonald's®","H167","15","mL","7.5","g","1.6","g",""
"Pie, savoury, egg & bacon, individual size, ready to eat","H1055","195","g","0.8","g","1.6","g",""
"Bread, multigrain & seeds, heavy (dense), sliced, toasted","A1174","80","g","2.0","g","1.6","g",""
"Topping, caramel, McDonald's®","H162","15","mL","6.7","g","1.5","g",""
"Bread, pita, white","A1097","82","g","1.8","g","1.5","g",""
"Bread, crumbs, Japanese-style (white Panko), dried","A1205","25","g","5.9","g","1.5","g",""
"Cracker, wheat, starch reduced, crispbread","A33","20","g","7.3","g","1.5","g",""
"Sundae, ice cream, caramel topping, McDonald's®","H54","175","g","0.8","g","1.5","g",""
"Sundae, ice cream, chocolate topping, McDonald's®","H55","175","g","0.8","g","1.5","g",""
"Sundae, ice cream, strawberry topping, McDonald's®","H56","175","g","0.8","g","1.5","g",""
"Bun, iced","A130","80","g","1.8","g","1.5","g",""
"Croissant, white, plain, toasted","A1190","50","g","3.0","g","1.5","g",""
"Bread, ciabatta, loaf, toasted","A1139","38","g","3.9","g","1.5","g",""
"Pizza, frozen, regular, Hawaiian & Combination, baked","H180","150","g","1.0","g","1.5","g",""
"Pizza, Hawaiian, thick crust","H191","150","g","1.0","g","1.5","g",""
"Milk shake, no flavouring, McDonald's®","H156","330","mL","0.6","g","1.5","g",""
"Pie, mince, family size","H29","159","g","0.9","g","1.5","g",""
"Bread, white, garlic filling with butter, as purchased","A1210","50","g","3.0","g","1.5","g",""
"Cereal bar, wholegrain wheat-based, with white chocolate, fortified, Nestle® Milo®","U10007","28","g","4.8","g","1.4","g",""
"Tart, treacle, baked","R10012","95","g","1.4","g","1.4","g",""
"Pie, steak, family size, ready to eat, commercial","H183","184","g","0.7","g","1.4","g",""
"Wrap, white, toasted","A1180","60","g","2.3","g","1.4","g",""
"Bread, white, garlic filling with vegetable oil, as purchased","A1208","50","g","2.7","g","1.4","g",""
"Bread, crumbs, regular, white, dried","A1206","25","g","5.6","g","1.4","g",""
"Bread, crumbs, regular, wholegrain, dried","A1207","25","g","5.6","g","1.4","g",""
"Topping, butterscotch, caramel","S37","21","g","6.7","g","1.4","g",""
"Croissant, white, plain, as purchased","A1189","50","g","2.8","g","1.4","g",""
"Bread, white, garlic filling with vegetable oil, baked","A1209","50","g","2.8","g","1.4","g",""
"Chicken, nugget, battered, baked, Ingham's®","N52","100","g","1.4","g","1.4","g",""
"Pizza, meat, thick crust","H189","150","g","0.9","g","1.4","g",""
"Pizza, supreme, large, thick crust, baked, commercial","H36","150","g","0.9","g","1.4","g",""
"Bun, sweetened with dried fruit, un-iced","A1158","80","g","1.8","g","1.4","g",""
"Bread, multigrain & seeds, heavy (dense), sliced, as purchased","A1173","80","g","1.8","g","1.4","g",""
"Bread, ciabatta, loaf, as purchased","A1138","43","g","3.4","g","1.4","g",""
"Cereal soft bar, muffin-style, wheat-based, with assorted chocolate filling","U10009","41","g","3.0","g","1.3","g",""
"Spring roll, traditional with meat, baked, commercial","H204","120","g","1.1","g","1.3","g",""
"Spring roll, curry rice with meat, frozen, uncooked, commercial","H205","120","g","1.1","g","1.3","g",""
"Spring roll, noodles with chicken, baked, commercial","H206","120","g","1.1","g","1.3","g",""
"Spring roll, vegetarian, baked, commercial","H207","120","g","1.1","g","1.3","g",""
"Spring roll, curry rice, with meat, baked, commercial","H209","120","g","1.1","g","1.3","g",""
"Spring roll, curry rice, with meat, deep-fried, commercial","H213","120","g","1.1","g","1.3","g",""
"Spring roll, noodles, with chicken, deep-fried, commercial","H214","120","g","1.1","g","1.3","g",""
"Fish, cake, deep-fried in peanut oil","H23","80","g","1.6","g","1.3","g",""
"Burger, hamburger","H6","172","g","0.7","g","1.3","g",""
"Fish, cake, microwaved","H59","76","g","1.7","g","1.3","g",""
"Fish, cake, raw","H60","76","g","1.7","g","1.3","g",""
"Kumara, 'Owairaka Red', flesh, raw","X1057","135","g","0.9","g","1.3","g",""
"Kumara, 'Owairaka Red', flesh, boiled, drained, no salt added","X1064","135","g","0.9","g","1.3","g",""
"Spring roll, traditional with meat, baked, Highmark","H208","121","g","1.1","g","1.3","g",""
"Spring roll, traditional, with meat, deep-fried, Highmark","H212","121","g","1.1","g","1.3","g",""
"Muesli log & slice, assorted","U19","76","g","1.7","g","1.3","g",""
"Honey, comb","W12","21","g","6.3","g","1.3","g",""
"Wrap, white, as purchased","A1179","60","g","2.2","g","1.3","g",""
"Pie, steak & cheese, family size, ready to eat, commercial","H186","180","g","0.7","g","1.3","g",""
"Pizza, frozen, meat lovers, premium, baked","H176","150","g","0.9","g","1.3","g",""
"Pasta & sauce, dry mix, assorted flavours, prepared with water, milk & butter, boiled","E10001","181","g","0.7","g","1.3","g",""
"Bread, Gluten free 6 Seed, Vogel's®","A1101","71","g","1.9","g","1.3","g",""
"Chocolate bar, Bounty®, Mars","W5","50","g","2.3","g","1.2","g",""
"Muesli bar, chocolate coated, Snacker","U27","33","g","3.5","g","1.2","g",""
"Pie, mince, individual size, ready to eat, commercial","H31","171","g","0.7","g","1.2","g",""
"Bread, gluten free, mixed grain, sliced, prepacked","A1015","80","g","1.5","g","1.2","g",""
"Pasta, fresh, ravioli, beef & pork, cooked","E57","150","g","0.8","g","1.2","g",""
"Marshmallow, pink & white","W40","16","g","7.4","g","1.2","g",""
"Muesli bar, fruit filled, twisted, assorted flavours","U67","40","g","3.0","g","1.2","g",""
"Scone, white","A1134","126","g","0.9","g","1.2","g",""
"Fish, cake, grilled","H58","76","g","1.6","g","1.2","g",""
"Couscous, white wheat, cooked in water, not drained, no salt or fat added","E1068","143","g","0.8","g","1.2","g",""
"Sausage roll, party size, baked","H1044","41","g","2.9","g","1.2","g",""
"Chocolate, caramel, chocolate coated","W54","18","g","6.7","g","1.2","g",""
"Chicken, nugget, battered, raw, Ingham's®","N50","100","g","1.2","g","1.2","g",""
"Spring roll, vegetarian, deep-fried, commercial","H215","120","g","1.0","g","1.2","g",""
"Bread, pita, wholemeal","A45","85","g","1.5","g","1.2","g",""
"Crabmeat, in black bean sauce","H69","125","g","0.8","g","1.1","g",""
"Muesli bar, yoghurt coated","U24","33","g","3.2","g","1.1","g",""
"Burger, cheeseburger","H3","255","g","0.4","g","1.1","g",""
"Soup, chicken, condensed, canned, prepared with water","V3","250","mL","0.4","g","1.1","g",""
"Bread, currant, sliced, prepacked, lower North Island","A170","61","g","1.8","g","1.1","g",""
"Bread, currant, sliced, prepacked, South Island","A171","61","g","1.8","g","1.1","g",""
"Bread, currant, sliced, prepacked","A214","60","g","1.8","g","1.1","g",""
"Pascall party pack","W67","25","g","4.4","g","1.1","g",""
"Biscuit, Matzo","A6","26","g","4.2","g","1.1","g",""
"Bread, rye, sliced, toasted","A1178","80","g","1.4","g","1.1","g",""
"Pasta, fresh, ravioli, chicken, roast garlic & pesto, cooked","E59","174","g","0.6","g","1.1","g",""
"Fish, cake, baked","H57","76","g","1.5","g","1.1","g",""
"Bread, currant, sliced, prepacked, upper North Island","A16","61","g","1.8","g","1.1","g",""
"Flour, spelt, wholemeal","E1095","135","g","0.8","g","1.1","g",""
"Pie, steak, individual size, ready to eat, commercial","H182","180","g","0.6","g","1.1","g",""
"Spring roll, vegetarian, baked, Highmark","H211","108","g","1.1","g","1.1","g",""
"Cake, tea-cake, toasted","A24","72","g","1.4","g","1.0","g",""
"Burger, McFeast®, McDonald's®","H9","309","g","0.3","g","1.0","g",""
"Chocolate bar, Gold Totally Nuts Bar, Moro, Cadbury","W1014","63","g","1.6","g","1.0","g",""
"Flour, spelt, white","E1097","135","g","0.7","g","1.0","g",""
"Bread, rye, sliced, as purchased","A1177","80","g","1.3","g","1.0","g",""
"Chocolate bite size,  Caramello, Cadbury","W61","52","g","1.9","g","1.0","g",""
"One square meal, OSM®","U1001","88","g","1.2","g","1.0","g",""
"Scone, white, with cheese","A1135","139","g","0.7","g","1.0","g",""
"Couscous, wholemeal wheat, dry","E1070","98","g","1.1","g","1.0","g",""
"Burger, egg","H5","248","g","0.4","g","1.0","g",""
"Sausage roll, with cheese, baked","H1002","37","g","2.3","g","0.9","g",""
"Bun, burger, Big Mac®, McDonald's®","H141","71","g","1.2","g","0.9","g",""
"Chicken, nugget, crumbed, baked","N58","100","g","0.9","g","0.9","g",""
"Rice milk, Original Calcium Enriched, Vitasoy®, fortified Ca & P","C1002","250","mL","0.3","g","0.9","g",""
"Pasta, wholemeal wheat flour, assorted shapes, dry","E1065","46","g","1.9","g","0.9","g",""
"Bread roll, mixed grain, commercial, upper North Island","A178","80","g","1.1","g","0.9","g",""
"Bread roll, mixed grain, commercial, lower North Island","A179","80","g","1.1","g","0.9","g",""
"Bread roll, mixed grain, commercial, South Island","A180","80","g","1.1","g","0.9","g",""
"Bread roll, mixed grain, commercial","A232","80","g","1.1","g","0.9","g",""
"Noodle, wheat dry, Shin Ramyun Noodle Soup, Nong Shim","E1048","107","g","0.8","g","0.9","g",""
"Haggis, boiled","N7","170","g","0.5","g","0.9","g",""
"Noodle, chow mein style, fried, as purchased","E1074","66","g","1.4","g","0.9","g",""
"Syrup, banana, McDonald's®","H165","15","mL","4.2","g","0.9","g",""
"Biscuit, milk chocolate, Original, Tim Tam™, Arnott's™","A1071","37","g","2.5","g","0.9","g",""
"Bread, French, stick or loaf, white, toasted","A1141","25","g","3.6","g","0.9","g",""
"Noodle, wheat flour, assorted flavours, boiled, undrained, 2 Minutes, Maggi®","E1050","396","g","0.2","g","0.9","g",""
"Fruit mix, dried","L196","40","g","2.3","g","0.9","g",""
"Crunchy Nut Corn Flakes®, Kellogg's®, fortified vitamins B1, B2, B3, C & folate, & Fe","D1032","44","g","2.1","g","0.9","g",""
"Liquorice, allsorts","W29","16","g","5.8","g","0.9","g",""
"Lollies, Minties, Pascall","W44","14","g","6.7","g","0.9","g",""
"Muffin, McDonald's®","H142","60","g","1.6","g","0.9","g",""
"Noodle, wheat, assorted flavours, dry, 2 Minute Noodles, Maggi®","E1047","65","g","1.2","g","0.8","g",""
"Special K®, Forest Berries, Kellogg's®, fortified  vitamins B1, B2, B3, B6 & folate, Ca, Fe & Zn","D1016","40","g","1.9","g","0.8","g",""
"Pasta, white wheat flour, precooked, tubes or sheets, dried","E1072","20","g","3.8","g","0.8","g",""
"Bean, soy, (edamame), green, immature, shelled, frozen, unprepared","X1248","80","g","0.9","g","0.8","g",""
"Ice cream, Paddle Pop®, chocolate","F113","91","g","0.8","g","0.8","g",""
"Cereal soft bar, wheatmeal, fruit, Uncle Tobys®","U66","47","g","1.6","g","0.8","g",""
"Spaghetti, canned in tomato sauce, Wattie's®","E1001","295","g","0.3","g","0.8","g",""
"Spaghetti, canned in tomato sauce, Oak®","E1003","295","g","0.3","g","0.8","g",""
"Spaghetti, canned in tomato sauce","E1005","295","g","0.3","g","0.8","g",""
"Spaghetti, canned in tomato sauce, Pams®","E1006","295","g","0.3","g","0.8","g",""
"Burger, Quarter Pounder®, McDonald's®","H11","185","g","0.4","g","0.8","g",""
"Parsnip, flesh, baked without fat","X1100","80","g","1.0","g","0.8","g",""
"Doughnut, cream & jam filled","A1145","125","g","0.6","g","0.8","g",""
"Chestnut, raw","Q6","30","g","2.6","g","0.8","g",""
"Crumpet, white","A1119","50","g","1.6","g","0.8","g",""
"Special K®, Original, Kellogg's®, fortified vitamins B1, B2, B3, B6 & folate, Ca & Fe","D1042","42","g","1.9","g","0.8","g",""
"Cereal soft bar, muesli, fruits filled, assorted flavours","U68","39","g","2.0","g","0.8","g",""
"Noodle, wheat flour, instant, plain, dry","E10005","76","g","1.1","g","0.8","g",""
"Snapper, fillet, flesh, fresh, crumbed, pan-fried with canola oil","K1041","100","g","0.8","g","0.8","g",""
"Sultana Bran®, Kellogg's®, fortified vitamins B1, B2, B3, B6 & folate, Fe & Zn","D43","45","g","1.8","g","0.8","g",""
"Muesli bar, chocolate chip","U30","32","g","2.5","g","0.8","g",""
"Bean, soy, (edamame), green, immature, shelled, frozen, steamed or microwaved, no salt added","X1251","80","g","1.0","g","0.8","g",""
"Cake, assorted fruits, light, un-iced","A1153","55","g","1.5","g","0.8","g",""
"Chocolate, fancy & filled","W7","10","g","8.1","g","0.8","g",""
"Wheat germ, South Island","E86","81","g","1.0","g","0.8","g",""
"Snapper, fillet, flesh, fresh, crumbed, deep-fried in canola oil","K1039","100","g","0.8","g","0.8","g",""
"Toasted Muesli Super Fruity, Sanitarium™, fortified vitamin E","D1055","67","g","1.3","g","0.8","g",""
"Crumpet, white, toasted","A1120","50","g","1.7","g","0.8","g",""
"Cracker, wheat, Cream Crackers, Reduced Fat, Huntley & Palmers™","A1033","32","g","2.1","g","0.7","g",""
"Snack bar, puffed rice-based, with reduced sugar","U10023","21","g","3.1","g","0.7","g",""
"Sauce, chocolate, Hershey's®","W47","15","g","4.5","g","0.7","g",""
"Soy drink, soy milk, So Good™ Essential, Sanitarium™, fortified vitamins A, B1, B2, B3, B6, B12, E & folate, Ca, Fe, Mg & P","C166","250","mL","0.3","g","0.7","g",""
"Bun, burger, McDonald's®","H140","52","g","1.3","g","0.7","g",""
"Barley, wholegrain, raw","E1","65","g","1.1","g","0.7","g",""
"Snack bar, puffed rice-based, with reduced sugar, fruits and chocolate","U10017","21","g","3.3","g","0.7","g",""
"Lemon curd, starch base","P5","16","g","4.3","g","0.7","g",""
"Spaghetti, canned in tomato sauce, imported","E1004","268","g","0.3","g","0.7","g",""
"Scone, wholemeal, baked","R10030","50","g","1.4","g","0.7","g",""
"Biscuit, Tim Tam™, Arnott's™ & Chit Chat™, Griffin's™","A1063","38","g","1.9","g","0.7","g",""
"Bread, French, stick or loaf, white, as purchased","A1140","25","g","2.8","g","0.7","g",""
"Scone, white, with dates","A1133","134","g","0.5","g","0.7","g",""
"Fruit gum","W8","12","g","6.0","g","0.7","g",""
"Saveloy, battered, fried, Independent Shops","H52","138","g","0.5","g","0.7","g",""
"Pastry, short, wholemeal, butter, raw","R10004","50","g","1.5","g","0.7","g",""
"Bread, white, sliced, fried","A20","28","g","2.6","g","0.7","g",""
"Bread, currant, toasted","A15","54","g","1.4","g","0.7","g",""
"Chicken, nugget, crumbed, raw","N56","100","g","0.7","g","0.7","g",""
"Oyster, battered, deep-fried in peanut oil","T17","100","g","0.7","g","0.7","g",""
"Scallop, battered, deep-fried","T20","100","g","0.7","g","0.7","g",""
"Bean, soy, (edamame), green, immature, shelled, frozen, boiled, drained, no salt added","X1250","80","g","0.9","g","0.7","g",""
"Fresh pasta, from wheat flour and egg, plain, boiled, drained, unsalted","E10004","100","g","0.6","g","0.6","g",""
"Pudding, sponge, steamed","R10028","95","g","0.6","g","0.6","g",""
"Ice cream, assorted berry flavours, standard","F1095","75","g","0.7","g","0.6","g",""
"Ice cream, Maple Walnut, premium","F75","75","g","0.7","g","0.6","g",""
"Cereal soft bar, muffin-style, wheat-based, assorted flavoured fillings","U10025","30","g","1.9","g","0.6","g",""
"Burger, Filet-o-Fish®, McDonald's®","H24","133","g","0.4","g","0.6","g",""
"Kahawai,  fillet, flesh, fresh, crumbed, deep-fried in canola oil","K1059","100","g","0.6","g","0.6","g",""
"Liquorice, black","W43","12","g","4.7","g","0.6","g",""
"Bread, Gluten Free Ancient Grain & Seeds, Bürgen®","A1100","90","g","0.6","g","0.6","g",""
"Fresh pasta, from wheat flour and egg, uncooked","E10002","60","g","0.9","g","0.6","g",""
"Pudding, milk, egg & breadcrumbs, baked","R10027","95","g","0.6","g","0.6","g",""
"Snack bar, puffed rice-based, with reduced sugar and chocolate","U10003","21","g","2.7","g","0.6","g",""
"Cake, assorted fruits, rich or dark, un-iced","A1152","55","g","1.1","g","0.6","g",""
"Cracker, wheat, sesame","A135","27","g","2.1","g","0.6","g",""
